Nome Escola,IDHM
CR P CONV JOAO FERNANDES VII,0.7070833333333333
CR P CONV CANTINHO DA LOTUS,0.7586224489795919
CEI INDIR JARDIM HELENA I,0.6355454545454545
DUARTE LEOPOLDO E SILVA DOM,0.83005
ESC PART MAMAE CORUJA E E I,0.8016
BERCARIO SKEKINAH UNIDADE COLINHO,0.7521153846153846
ESC PART ECO EDUCACAO INFANTIL E BERCARIO,0.7473157894736842
CR P CONV JARDIM EBENEZER IRMAOS NATALI,0.9293750000000001
CEI INDIR PERUS I,0.6678125
ESC PART BERCARIO CONCEITO,0.8593
ESCOLA CIRCULAR,0.8719285714285715
CR P CONV CORUJINHA IV,0.7618666666666667
CR P CONV SONHO MEU,0.7259758064516129
CR P CONV LUZ DA ESPERANCA,0.7061666666666667
CR P CONV SEMENTINHA DA VIDA,0.7062075471698114
CR P CONV EBENEZER,0.7932222222222223
ESC PART FLORESCER ESCOLA,0.7521153846153846
CALIANDRA ME,0.7521153846153846
CEI INDIR TATUAPE,0.7838
ESC PART CRIANDO E APRENDENDO N R I,0.8016
O MUNDO DE LUIZA EEI,0.7177777777777777
MAPLE BEAR CANADIAN SCHOOL SAO MIGUEL PAULISTA EEI,0.6934166666666667
PROZ,0.7070833333333333
CR P CONV ABELHA BELINHA,0.6652340425531914
CR P CONV GUADALUPE,0.6457368421052632
ESC PART ESPACO EDUCARE,0.884
ESCOLA GIRASSOL IPIRANGA,0.7521153846153846
CR P CONV VITORIA,0.7473157894736842
ESC PART BRINCARTE B R I,0.9293750000000001
COLEGIO PETER PAN,0.7521153846153846
CR P CONV CANTINHO IRMAOS NATALI,0.7865333333333333N
ESC PART PEQUENOS PRODIGIOS ESCOLA,0.7070833333333333
PUZZLE EDUCACAO BILINGUE MULTICULTURAL,0.8113181818181818
CR P CONV DESENHANDO O AMANHA,0.7313061224489796
ESC PART PEQUENO EINSTEIN COLEGIO,0.7381052631578948
ESC PART PITANGATU ESCOLA,0.8113181818181818
ESC PART ESCOLA LENDAS E PARLENDAS E I,0.8113181818181818
EMEI MARECHAL TITO,0.6652340425531914
ESC PART TTWICE E E I,0.9336666666666668
ESC PART NUCLEO EDUCACIONAL KAIROS,0.6457368421052632
CR P CONV PRIMEIRO LAPIS III,0.7618666666666667
CENTRO DE ENSINO GRAU TECNICO UNIDADE BRAS,0.7932222222222223
CR P CONV ASAS DE ALGODAO,0.75255
PARQUE JARDIM HELENA,0.6355454545454545
ESC PART BERCARIO PLAYTECA,0.8719285714285715
COLEGIO CAMINHOS E COLINAS,0.6890508474576271
ESC PART DELLA NOCCE E E I,0.8719285714285715
CR P CONV JULIA SAPUCAIA,0.6457368421052632
CENTRO DE ENSINO GRAU T LARGO 13 DE MAIO,0.8737777777777778
CR P CONV SAO MIGUEL ARCANJO,0.678825
CENTRO DE ENSINO GRAU TECNICO UNIDADE ANHANGABAU,0.9056666666666667
ESCOLA LUMINOVA UNIDADE BOM RETIRO,0.6977058823529412
ESCOLA ADVENTISTA DE VILA MATILDE UNIDADE II,0.7768928571428572
ESC PART IDE ESCOLA DE DESENVOLVIMENTO INFANTIL,0.6845731707317073
CR P CONV CARACOL,0.7062075471698114
RED HOUSE INTERNACIONAL SCHOOL UNIDADE II,0.8593
ESCOLA TECNICA FAT,0.6977058823529412
ESCOLA LUMINOVA,0.7622432432432432
ESC PART VILLA AMORE COLEGIO,0.7622432432432432
COLEGIO CARPE DIEM OBJETIVO MOOCA,0.8404444444444444
COLEGIO GERACAO CONQUISTA,0.83005
CR P CONV ALECRIM DOURADO,0.6877894736842105
CR P CONV CANTINHO DA IMAGINACAO,0.8977
CENTRO EDUCACIONAL A,0.7838
CR P CONV SEMENTINHA,0.7586224489795919
CR P CONV ESTACAO ALEGRIA,0.7586224489795919
CR P CONV BRINCARTE,0.7521153846153846
INSTITUTO FILADELFIA,0.8737777777777778
CR P CONV KURT LENHARD,0.6977058823529412
CR P CONV LUZIA BEZERRA II,0.659
ESCOLA MAPLE BEAR CANADIAN SCHOOL MORUMBI PAINEIRAS,0.7618666666666667
SP ESCOLA DE TEATRO,0.7932222222222223
CR P CONV QUATRO PILARES DA EDUCACAO III,0.7070833333333333
CR P CONV PRIMAVERA,0.7313061224489796
ESC PART -MEU LIMAO MEU LIMOEIRO U E,0.7521153846153846
ESCOLA SHEKINAH UNIDADE ENSINO FUNDAMENTAL,0.7521153846153846
CR P CONV APRENDENDO BRINCANDO,0.6355454545454545
CR P CONV JARDIM SANTA ETELVINA,0.659
CR P CONV SAO DOMINGOS,0.7865333333333333N
CR P CONV ARCO IRIS,0.8016
CR P CONV PEDACINHO DO CEU,0.8025833333333333
CR P CONV MUNDO FELIZ,0.7996666666666666
CR P CONV PRINCESA THAYNNA,0.7259758064516129
CR P CONV RENASCER,0.7644782608695652
ESC PART ALEXANDRA COLEGIO,0.7586224489795919
ESC PART LIVING SCHOOL VIVENCIA INFANTIL BILINGUE LTDA ME,0.7473157894736842
BILINGUAL DEVELOPMENT SCHOOL,0.8719285714285715
ESC PART COLORIDO BEIJA-FLOR E E I,0.8737777777777778
CR P CONV ANA PAULA ANDRADE,0.65409375
COLEGIO LICEO SANTO AMARO ABADE,0.8737777777777778
ESCOLA CRESCENTE,0.7473157894736842
ESC PART JARDIM BELA VISTA BERCARIO,0.7865333333333333N
CR P CONV VIVA,0.6940000000000001
EMEI LAJEADO II,0.6457368421052632
COLEGIO JARDIM NOVA JORNADA EIRELI,0.82375
POLO DE APOIO PRESENCIAL COLEGIO NOVE DE JULHO UNIDADE III,0.8737777777777778
